N,n_point,ga_dist_mean,ga_dist_std,ga_time_mean_ms,ga_time_std_ms
1,2,163.68261972488102,2.995911226518785e-14,2408.358573913574,12.38630487108905
2,3,206.9110773357129,0.0,2480.2629470825195,23.55718972309302
3,4,238.05964097463794,2.995911226518785e-14,2539.4122838974,15.832176405864006
4,5,249.43382978862846,5.013118332545883e-14,2568.6968326568604,17.96464748169792
5,6,271.74946524805966,0.0,2620.024275779724,22.73978363936273
6,7,327.26648947683515,5.99182245303757e-14,2665.155076980591,11.844076616686527
7,8,265.2444588464126,5.359248925640619e-14,2696.379327774048,7.640320008501273
8,9,305.8436311807348,2.6796244628203094e-14,2742.690134048462,15.512195662616543
9,10,342.85247874458327,5.99182245303757e-14,2773.5411643981934,32.037405425402895
10,11,297.391534219542,3.2818563180946156e-14,2812.304377555847,9.580405211733739
